participant_id,SONAId,Condition,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,position_in_text,device,hand,experiment_start_time,experiment_end_time,experiment_duration,experiment
YKVBHLLU,emalie,1,39,2,21, the ,22612,755,165,98,0.3168700946620982,0.5858333587646485,141.56666564941406,745.4833374023438,181.56666564941406,775.5166625976562,2,8,Yes,21,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,39,2,22, immigrants ,23715,840,165,112,0.6929966746333237,0.5858333587646485,141.56666564941406,775.5166625976562,181.56666564941406,868.5666580200195,2,9,Yes,22,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,41,3,36, produces ,726,730,205,82,0.4628028788260879,0.5858333587646485,181.56666564941406,693.3999938964844,221.56666564941406,772.4833526611328,3,7,No,36,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,42,4,46, when ,697,752,250,82,0.07284065056760804,0.7108333587646485,221.56666564941406,748.5000076293945,261.56666564941406,796.5499954223633,4,8,Yes,46,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,40,5,38, police ,825,744,206,89,0.5488309875691427,0.6108333587646484,181.56666564941406,715.433349609375,221.56666564941406,767.4833450317383,3,5,No,38,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,54,6,50, without ,802,699,251,96,0.07413383046717818,0.7358333587646484,221.56666564941406,694.3999938964844,261.56666564941406,756.4500198364258,4,7,Yes,50,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,48,7,50, States. ,900,726,242,97,0.5324711626332125,0.5108333587646484,221.56666564941406,694.4333267211914,261.56666564941406,753.7166748046875,4,8,Yes,50,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,43,8,48, explosion. ,803,746,247,98,0.21842388945902566,0.6358333587646484,221.56666564941406,727.4833450317383,261.56666564941406,812.2572908401489,4,8,No,48,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,55,9,52, his ,788,751,244,90,0.33611014211912693,0.5608334657351428,221.56666564941406,741.5833129882812,261.56665802001953,769.599983215332,4,9,No,52,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,52,10,51, of ,870,741,235,89,0.7751872124920387,0.3358333587646484,221.56666564941406,725.4833450317383,261.56666564941406,745.5,4,7,No,51,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,50,11,38," animals, ",1103,711,205,61,0.4237796965332686,0.5858333587646485,181.56666564941406,680.4666748046875,221.56666564941406,752.5166702270508,3,8,Yes,38,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,51,12,43, which ,870,718,249,105,0.658066278280034,0.6858334895770053,221.56666564941406,684.4166946411133,261.56665802001953,735.4500122070312,4,7,No,43,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,46,13,43, release ,706,736,241,75,0.46149818323508,0.48583335876464845,221.56666564941406,706.4333572387695,261.56666564941406,770.5000076293945,4,8,Yes,43,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,45,14,36, inspiration ,1045,744,203,90,0.3050715670958169,0.5358333587646484,181.56666564941406,717.4333572387695,221.56666564941406,804.5166702270508,3,7,Yes,36,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,53,15,36, matters ,1059,707,202,98,0.4482320428312983,0.5108333587646484,181.56666564941406,677.849983215332,221.56666564941406,742.88330078125,3,8,No,36,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,38,16,33, as ,629,697,211,75,0.9403185159936225,0.7358333587646484,181.56666564941406,674.4166946411133,221.56666564941406,698.433349609375,3,6,No,33,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,44,17,37," people, ",951,719,206,83,0.5550065170297583,0.6108333587646484,181.56666564941406,683.4333267211914,221.56666564941406,747.5166702270508,3,6,No,37,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,47,18,41, Plastic ,840,744,213,97,0.45705246162102553,0.7858333587646484,181.56666564941406,717.4833450317383,221.56666564941406,775.5,3,8,Yes,41,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,49,19,37, apparent ,938,699,202,83,0.5470870405483699,0.5108333587646484,181.56666564941406,657.3666687011719,221.56666564941406,733.466682434082,3,7,Yes,37,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
